,text
0,"Komisi III @DPR_RI @bambangsoesatyo, Tolak RKUHP yg kriminalisasi perempuan, anak, masyarakat adat & kelompok marjinal. - Tandatangani Petisi! http://chng.it/bP6hw289  lewat @ChangeOrg_ID"
1,"Sbnrnya jgn tllu sudzon dlu,toh ini sbuah gebrkan juga krn DKI mkin semrawut aplgi gubernurnya beh hanya bisa merangkai kata doang kalah sma srikandi suroboyo,knp DPR diam?emangnya DPR bisa bkrja lah wong netapin RKUHP aja smpe skrang blum slsai2"
2,Pemerintah dan DPR cukup membuat kodifikasi di RKUHP aja lah #IndonesiaMajupic.twitter.com/KRTYimlSi2
3,Pemerintag dan DPR cukup membuat kodifikasi di dalam RKUHP. #TolakRUUKKS #SiberIndonesia #NKRIHargaMatipic.twitter.com/rXrL6uQqSt
4,"Tiati. Dokter loh yang ngomong itu.
Tapi tenang aja RUU itu masih draft.
Penetapannya menunggu RKUHP yang baru jadi dulu.
Kalo enggak asas hukum dilanggar.
Lex Spesialis derogate Lex Generalis.
Bisa bisa langsung di Uji Materilkan di MK langsung KO. "
5,"cukup kodifikasi di dalam RKUHP untuk menguatkan aturan pidana terhadap pelanggaran siber
#PLNKuat
#TetapOposisiJagaDemokrasi
#Jokowi
#indonesiamajupic.twitter.com/mIBoCUwtOY"
6,[Infografis] Semangat DPR RI Selesaikan RKUHP pic.twitter.com/VOBQTHwpbv
7,"Masalah-masalah administrasi kependudukan mencuat di tengah pembahasan Rancangan Kitab Undang-undang Hukum Pidana (RKUHP), karena beberapa pasal dalam rancangan tersebut berpotensi mengkriminalkan orang-orang yang belum memiliki akta pernikahan.

https://buff.ly/2M2ul1p "
8,"Anggara mengatakan, revisi UU ITE dan pembahasan RKUHP harus sejalan agar tidak terjadi duplikasi pasal. http://dlvr.it/R9ghQN "
9,RKUHP ngawur memang perlu banyak revisi. Akibatnya bisa jadi persekusi dimana2 atas dasar moral :( kasihan yang nikah secara adat dan belum tercatat scr sipil.. https://twitter.com/tunggalp/status/1157667762711359495 …
